mean_predicted_probability,fraction_positives,count,variant
0.16396885944063072,0.0,7,random_forest
0.3214405178233264,0.2857142857142857,7,random_forest
0.42080091374110973,0.42857142857142855,7,random_forest
0.4626527066061575,0.8571428571428571,7,random_forest
0.499948535250489,0.5714285714285714,7,random_forest
0.5222771631672857,0.6666666666666666,6,random_forest
0.5457126924797842,0.14285714285714285,7,random_forest
0.5799682278609956,0.5714285714285714,7,random_forest
0.6487417237192944,0.8571428571428571,7,random_forest
0.7282909847479112,0.5714285714285714,7,random_forest
0.1753401266677039,0.0,7,baseline
0.25997292569705416,0.2857142857142857,7,baseline
0.36836948565074373,0.42857142857142855,7,baseline
0.40778155837740215,0.5714285714285714,7,baseline
0.4397222527435848,0.42857142857142855,7,baseline
0.4619734038909276,0.3333333333333333,6,baseline
0.5245658585003444,0.8571428571428571,7,baseline
0.5790639264242989,0.7142857142857143,7,baseline
0.6307881559644427,0.42857142857142855,7,baseline
0.7031177878379822,0.8571428571428571,7,baseline
0.16970868359398222,0.0,7,flat_confidence
0.2552387018970529,0.2857142857142857,7,flat_confidence
0.3645186154132844,0.42857142857142855,7,flat_confidence
0.4057606779473887,0.5714285714285714,7,flat_confidence
0.4385927239546223,0.42857142857142855,7,flat_confidence
0.4616308464097125,0.3333333333333333,6,flat_confidence
0.5250656991881545,0.8571428571428571,7,flat_confidence
0.5817332698711134,0.7142857142857143,7,flat_confidence
0.6340522726933091,0.42857142857142855,7,flat_confidence
0.7072959956437178,0.8571428571428571,7,flat_confidence
0.1727513082332202,0.0,7,mc_confidence_only
0.2571210321844151,0.2857142857142857,7,mc_confidence_only
0.3628228577923665,0.42857142857142855,7,mc_confidence_only
0.4032659107981614,0.5714285714285714,7,mc_confidence_only
0.43555129895449596,0.42857142857142855,7,mc_confidence_only
0.45749295854120114,0.3333333333333333,6,mc_confidence_only
0.5193263528824279,0.8571428571428571,7,mc_confidence_only
0.5727240743242851,0.7142857142857143,7,mc_confidence_only
0.625636072972073,0.42857142857142855,7,mc_confidence_only
0.6995727602787066,0.8571428571428571,7,mc_confidence_only
0.17292130481744647,0.0,7,nars_gated
0.2573082821701581,0.2857142857142857,7,nars_gated
0.36282199077728705,0.42857142857142855,7,nars_gated
0.4032643022177295,0.5714285714285714,7,nars_gated
0.43555083780322007,0.42857142857142855,7,nars_gated
0.45749050293956534,0.3333333333333333,6,nars_gated
0.5202362467825284,0.8571428571428571,7,nars_gated
0.5751543683913448,0.7142857142857143,7,nars_gated
0.6271846060353221,0.42857142857142855,7,nars_gated
0.7006701178990281,0.8571428571428571,7,nars_gated
